organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
crocodylus_porosus,0.09,0.46,0.47,1,0.23,0.28,1.57,1.69,0.75,0.15,1.93,0.07,1,0.57,0.26,0.12,0.1,0.2,2.51,0.29,0.1,1.78,0.22,1,0.59,0.35,0.87,2.17,1.51,0.97,0.23,0.18,3.13,1.72,0.75,1,2.27,2.0,1.6,1,0.09,0.06,2.37,0.19,1,2.97,1,1.52,1,1,2.13
notechis_scutatus,0.92,1.95,1.4,1.44,0.25,2.04,0.37,1.81,1.03,1.05,0.68,0.07,1,0.36,0.17,0.12,0.11,1.88,2.47,1.71,0.1,1.89,0.19,2.08,1.15,2.24,3.06,0.3,1,0.18,0.2,0.12,1,2.06,1.92,1,0.14,2.35,0.1,0.21,0.25,5.11,2.19,0.19,1.91,1.31,1,1.72,2.16,0.76,0.87
anolis_carolinensis,0.13,2.04,1.44,1,0.25,2.36,1.35,1.76,1,1,1.24,0.06,1,0.5,1.88,0.13,1.91,1.81,0.13,2.56,0.09,1.88,2.61,1,0.48,1.21,1.54,1.88,1,0.29,0.2,0.14,0.0,1.77,0.51,0.11,2.22,0.82,1.31,0.23,0.1,0.06,0.8,0.19,1.91,1.45,1.69,1.58,0.55,1.23,0.94
xenopus_tropicalis,0.12,1.85,1.07,2.55,0.23,1.98,0.12,1.56,1.33,0.21,0.57,0.11,1,0.4,0.26,0.14,0.14,2.11,0.19,1.25,3.68,0.22,2.45,1,0.93,1.16,2.98,0.13,0.91,1,0.2,0.14,1.17,2.48,2.42,2.28,2.42,1.71,1.42,0.45,0.1,0.07,0.16,0.16,1.99,0.21,1,1,0.38,1,0.93
latimeria_chalumnae,1.15,2.18,1.33,1.85,0.18,0.21,1.89,1.07,0.8,0.54,1.3,0.06,1,0.75,0.57,0.14,0.17,1.43,0.17,3.21,2.59,2.7,0.16,0.24,0.81,0.9,3.57,0.15,0.83,0.33,0.25,0.1,0.21,1,0.52,2.38,2.79,2.01,0.12,0.17,0.1,0.07,0.19,1.82,0.45,2.21,1.14,0.1,1.51,1.33,2.27
petromyzon_marinus,1,0.47,1,1.37,0.24,1,1,0.6,1,1,1,1,1,0.52,1,1,1,1,1,0.29,0.97,0.4,1,0.23,0.66,1.37,2.09,2.1,1.18,1,1,0.32,1,1,1.52,1.71,0.14,0.61,1,1.53,1,1,1,0.57,0.89,1,1.9,1,1,1.96,0.83
eptatretus_burgeri,0.31,1.26,0.3,0.5,1,1.73,1,2.78,1.11,0.56,1.1,0.13,1,0.66,1,1,1.3,0.47,1,0.4,1.38,1,1,1,1,0.82,2.34,1,0.85,2.82,1.28,0.49,2.29,0.23,0.35,0.39,1.92,1.02,1,0.71,1,2.09,1.0,1.77,1,1,0.57,1,1,3.42,1.26
ciona_intestinalis,1,2.14,1.25,1,0.19,1.22,0.85,1.76,1,0.56,0.89,1,1,1,1.16,0.49,1.08,1,0.5,1,1.15,1.22,0.87,1,1.7,1,0.94,1.46,0.9,1,0.37,1,1,0.31,1.01,0.58,1.77,0.83,0.57,0.88,1,1.92,0.32,1,1,0.88,0.9,1,1.59,0.82,1.13
drosophila_melanogaster,2.52,1.07,1,1.96,0.71,0.4,1.51,1.21,1.24,0.79,0.84,0.93,1,1,1.67,0.91,0.39,2.74,0.82,1,1.29,0.88,1.0,1.46,1.55,1,0.51,0.81,0.75,1,1,0.84,1,1.19,1,1.11,1.3,1.22,1.29,1.04,1,1.51,0.69,1,1,0.7,2.28,1,0.68,0.85,0.94
caenorhabditis_elegans,1.08,1,1,1.48,1,1,1,1.32,1,1.4,1,1,1,1,1,0.53,1.19,0.3,1.51,1,0.72,1,1.36,1,1,1,1.34,1,1,1,1,1,1,1,1,1.37,1,0.97,1,1,1,1,1,1,1.24,1.35,0.97,1,1.07,0.81,1.04
