organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
crocodylus_porosus,0.6,0.98,0.35,1,2.88,1.79,1.83,0.3,0.87,0.99,1.87,0.04,1.57,0.66,2.42,0.12,1,3.2,1.9,0.17,0.1,0.15,0.1,1,0.11,1.76,2.56,0.29,1,0.36,0.12,0.07,2.24,0.13,1.53,1,0.24,0.14,1.5,1,0.2,0.08,1.76,0.12,0.65,2.51,1,1.88,1,1,0.15
anolis_carolinensis,1.16,1.29,0.86,0.23,1.97,2.67,1.92,0.3,0.94,1,0.26,0.05,0.3,0.49,0.11,0.1,0.07,0.22,2.55,0.16,0.07,2.7,3.13,1,0.1,2.54,1.77,2.32,1,0.15,0.13,0.17,2.63,0.07,2.54,1,0.34,0.13,1.22,0.12,0.43,0.06,0.68,0.13,0.2,1.96,1,1.81,1.36,0.85,0.12
xenopus_tropicalis,0.4,1.35,1.27,1.38,2.94,0.9,1.87,0.21,1.38,1.25,0.56,0.08,2.22,2.78,2.03,0.09,0.09,1.83,0.23,1.45,0.08,3.19,3.09,1,0.17,0.28,0.2,0.26,1,1,0.16,0.18,2.73,0.14,0.53,1,0.19,0.21,1.33,0.45,0.17,0.05,0.68,0.17,1.34,0.35,1,1,1.95,1,2.85
callorhinchus_milii,0.92,1.95,1.4,1.44,0.25,2.04,0.37,1.81,1.03,1.05,0.68,0.07,1,0.36,0.17,0.12,0.11,1.88,2.47,1.71,0.1,1.89,0.19,2.08,1.15,2.24,3.06,0.3,1,0.18,0.2,0.12,1,2.06,1.92,1,0.14,2.35,0.1,0.21,0.25,5.11,2.19,0.19,1.91,1.31,1,1.72,2.16,0.76,0.87
latimeria_chalumnae,0.92,1.15,0.97,0.82,0.24,1.38,1.78,0.88,0.38,1.58,0.32,0.05,1,0.32,1,0.12,0.07,0.23,2.71,0.25,0.12,0.18,0.12,0.32,0.14,1.74,2.44,3.02,1,1.88,0.16,0.1,0.19,1,2.76,1,0.21,0.18,0.16,0.1,0.84,0.05,2.39,0.23,0.58,3.0,1,0.26,0.46,1.38,3.03
petromyzon_marinus,1,1,1,0.84,2.55,1,1,0.66,1,1,1,1,1,1,1,1,1,1,1,1,1.16,2.21,1,0.22,1.07,0.74,2.33,0.3,1,1,0.29,0.33,1,1,0.58,1,1,0.53,1,1.98,1,1,1,3.44,1.13,1,1,1,1,1.36,0.93
eptatretus_burgeri,1,0.81,1.41,1.26,3.49,2.34,1,1.1,0.7,0.8,1.09,0.15,1,0.0,1,1,0.27,1.31,1,1,1.29,1,1,1,1,0.74,0.3,1,1,1,1,0.51,1.01,1,0.99,1,0.21,0.2,1,2.17,1,2.29,0.29,1.78,1,1,1,1,1,2.46,0.42
ciona_intestinalis,1,1.58,0.81,1,0.14,1.74,0.77,0.92,1,1,1,1,1.16,1,1.14,1,0.22,1,0.53,1,1.01,1.63,0.8,1,0.68,1,0.92,1.3,1,1,0.38,0.63,1,1.84,1.44,1,0.33,1.11,0.55,1,1,2.03,1.0,1,1,1.03,1,1,0.4,1,1
drosophila_melanogaster,1,1,1,0.54,0.73,1.22,1.84,0.9,0.84,0.81,1,0.89,1.11,1,0.78,0.91,1,1,1.13,1,1.23,1.99,0.92,1.24,1.25,1,0.42,1.12,1,1,1,1.18,1,1.47,1,1,1,0.66,0.98,0.9,1,1.37,0.53,1,1,1.36,1.01,1,1.08,1.7,0.8
caenorhabditis_elegans,0.75,1,1,0.77,1,1,1,1.18,1,1.14,1,1,1,1,1,0.69,0.26,0.97,1.04,1,1.44,1,0.74,1,1,1,1.11,0.72,1,1,1,0.52,1,1,1,1,1,1.01,1,1,1,1,1,1,1.25,1.05,1,1,1.1,1,0.91
