organism,Fam20c,Sgsh,Prg4,Glb1,Galns,Arsb,Csgalnact1,Arsc,Chst7,B3galt6,Arsg,Fam20b,Chst4,Acan,Chst2,Sulf2,B4galt7,Fam20a,Arsd,Chst15,Chsy1,Gns,Arsj,Sumf2,Chst3,Ext1,Gusb,Xylt1,Chpf2,Chst13,Dse,Arsi,Chst12,Ust,Chst14,Arsa,Sumf1,Sulf1,Csgalnact2,B3gat3,Chst11,Ext2,Ids,Chst1,Chsy3,Arsk,Arse,Chst9,Chpf,Arsf,Xylt2
notechis_scutatus,0.94,0.37,1.26,0.28,1.39,1.73,1.8,1.74,2.3,1.41,0.24,0.04,3.07,0.44,2.82,0.23,1,0.18,2.21,1,0.09,2.35,2.27,0.36,0.15,0.1,1.68,3.23,1,0.27,0.1,0.11,0.27,2.43,2.55,1,0.2,0.11,1.28,0.5,0.39,0.05,0.71,0.08,2.22,0.26,1.43,1.94,1.64,0.56,2.57
anolis_carolinensis,2.03,0.16,1.19,0.28,0.25,0.33,0.12,1.68,0.76,1,0.66,0.04,1.2,0.66,2.66,0.26,2.42,1.48,0.17,0.13,0.07,3.2,0.1,1,1.24,0.52,1.44,1.5,1,1.72,0.11,1.5,0.2,0.06,0.29,0.13,1.75,0.1,0.09,1.48,0.05,0.05,0.97,0.07,2.12,2.44,0.55,1.76,1.49,1.23,2.42
xenopus_tropicalis,0.18,3.27,1.29,1.39,1.16,3.41,0.13,1.47,0.59,1.37,0.52,0.08,1.35,0.52,1.48,0.12,1.26,1.41,1.7,1.33,0.09,2.8,0.11,1,1.06,1.56,1.79,0.15,1.93,1,0.18,0.13,1.76,0.09,2.17,1.52,2.66,0.28,0.12,0.66,0.07,0.08,3.32,0.14,1.08,2.25,1,1,0.95,1,0.22
callorhinchus_milii,0.16,0.3,1.05,1.31,0.4,1.76,1.77,1.72,0.83,1.37,1.99,0.07,1,0.4,1.27,0.29,0.24,1.34,0.23,1.57,2.25,2.72,0.18,0.34,0.89,0.99,1.02,0.25,0.76,0.92,0.23,0.21,1,2.23,0.73,1.35,2.43,1.69,1.39,0.69,0.12,0.07,1.48,1.49,2.62,0.24,1.2,0.22,1.72,1.01,0.56
latimeria_chalumnae,1.17,1.62,1.22,0.26,0.29,1.39,0.13,0.9,1.19,0.43,0.71,0.07,1,0.84,2.89,0.24,2.0,2.17,1.69,0.18,0.11,2.42,0.14,2.84,1.17,3.76,2.07,0.12,0.3,0.38,0.17,0.16,1.29,1,0.26,1.41,1.75,0.31,0.29,1.48,0.07,0.08,1.73,2.91,0.54,1.43,0.6,0.18,0.82,1.22,0.24
petromyzon_marinus,1,0.17,1,1.17,1.91,1,1,0.58,1,1,1,1,1,0.9,1,1,1,1,1,0.38,0.21,1.82,1,0.29,0.72,0.99,0.24,0.55,0.35,1,0.39,0.39,1,0.11,1.02,1.5,2.22,0.0,1,3.01,1,0.18,1,2.07,0.82,1,1.14,1,1,0.74,1.46
eptatretus_burgeri,1.41,2.05,1.16,0.61,1.34,3.17,1,0.22,0.59,0.85,1.21,0.14,1,0.84,1,1,1.5,1.59,1,0.38,1.33,1,1,1,1,0.84,0.45,1,1.22,0.3,1.35,0.77,1.85,1.61,1.82,0.43,1.54,0.2,1,1.87,1,2.08,1.12,1.88,1,1,0.81,1,1,1,1.23
ciona_intestinalis,1,3.83,0.97,1,1,0.32,0.82,1.54,1,1,0.66,1,1.21,1,1,1,1.27,1,0.94,1,1.03,1.19,1.01,1,1,1,1.34,0.72,0.79,1,0.37,1.03,1,1.95,1,1.07,1.76,1.08,0.5,2.7,1,1.84,1.08,1,1,0.87,0.51,1,0.43,1.32,1.16
drosophila_melanogaster,0.46,2.09,1,1.61,1.1,1.26,1.37,0.81,1.06,0.71,1.24,1,1.22,1,1.2,0.86,1.18,1.74,1.39,1,1.44,0.99,1.11,1.51,1.02,1,1.5,0.93,1.0,1,1,1.06,1,1.58,1,1.11,1.84,0.7,1.78,0.75,1,1.25,0.94,1,1,1.36,1.01,1,1.31,0.98,1.08
caenorhabditis_elegans,1.57,1,1,1,1,1,1,1.5,1,1,1,1,1,1,1,1,1.92,1.8,1.42,1,1.47,1,1.0,1,1,1,0.52,0.94,0.69,1,1,0.96,1,1,1,0.67,1,1.05,1,1,1,1,1,1,1.26,0.7,0.87,1,1,0.81,0.99
